20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ar18_165a.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_area1_phishing_diplomacy.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_aus_parl_compromise.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_babyshark.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_backdoor_ssh_python.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_backdoor_sunburst_fnv1a_experimental.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_backspace.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_barracuda_esg_unc4841_jun23.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_beepservice.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_between-hk-and-burma.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_bigbang.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_bitter.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_blackenergy.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_blackenergy_installer.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_bluetermite_emdivi.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_bronze_butler.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_buckeye.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_camaro_dragon_oct23.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_candiru.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_carbon_paper_turla.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_casper.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cheshirecat.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cisco_asa_line_dancer_apr24.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cisco_asa_lineviper_rayinitiator_sep25.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cloudatlas.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cloudduke.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cmstar.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cn_brickstorm_sep25.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cn_netfilter.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cn_pp_zerot.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cn_reddelta.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cn_twisted_panda.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cobaltstrike.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_cobaltstrike_evasive.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_codoso.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_coreimpact_agent.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_danti_svcmondr.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_darkcaracal.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_darkhydrus.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_deeppanda.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_derusbi.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_dnspionage.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_donotteam_ytyframework.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_dragonfly.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_dtrack.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_dubnium.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_duqu1_5_modules.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_duqu2.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_dustman.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_emissary.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eqgrp.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eqgrp_apr17.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eqgrp_sparc_sbz_apr23.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eqgrp_triangulation_jun23.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eternalblue_non_wannacry.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_exile_rat.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_f5_bigip_expl_payloads.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fakem_backdoor.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fancybear_computrace_agent.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fancybear_dnc.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fancybear_osxagent.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fidelis_phishing_plain_sight.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fin7.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fin7_backdoor.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fin8.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_flame2_orchestrator.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_foudre.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_four_element_sword.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_freemilk.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fujinama_rat.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_furtim.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fvey_shadowbroker_dec16.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fvey_shadowbroker_jan17.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ghostdragon_gh0st_rat.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_glassRAT.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_golddragon.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_goldenspy.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_greenbug.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_greyenergy.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_grizzlybear_uscert.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hackingteam_rules.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hafnium.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hafnium_log_sigs.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ham_tofu_chches.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hatman.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hellsing_kaspersky.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hidden_cobra.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hiddencobra_bankshot.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hiddencobra_wiper.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hizor_rat.yar
